product_id,product_name,description,price,category
1,Wireless Bluetooth Earbuds,High-quality earbuds with noise cancellation and 20-hour battery life,59.99,Electronics
2,Stainless Steel Mixing Bowl Set,Set of 5 durable mixing bowls for baking and cooking,24.99,Home & Kitchen
3,Classic Denim Jacket,Timeless blue denim jacket with button closure,45.5,Clothing
4,Sci-Fi Adventure Novel,Engaging 400-page novel about interstellar exploration,12.99,Books
5,Remote Control Car,Fast RC car with rechargeable battery for kids,29.99,Toys & Games
6,4K Smart LED TV 55-Inch,Ultra HD television with streaming apps and voice control,399.99,Electronics
7,Ceramic Non-Stick Frying Pan,10-inch pan with heat-resistant handle,19.99,Home & Kitchen
8,Men's Running Shoes,Breathable sneakers with cushioned soles for comfort,69.99,Clothing
9,Cookbook for Beginners,Step-by-step recipes for home cooking,15.99,Books
10,Building Block Set,500-piece colorful blocks for creative play,22.5,Toys & Games
11,Wireless Gaming Mouse,Ergonomic mouse with customizable RGB lighting,39.99,Electronics
12,Glass Food Storage Containers,Set of 3 BPA-free containers with airtight lids,27.99,Home & Kitchen
13,Women's Yoga Pants,Stretchy high-waisted leggings for workouts,34.99,Clothing
14,Historical Fiction Novel,Compelling story set in 19th-century Europe,14.99,Books
15,Board Game Strategy,Family-friendly strategy game for 2-4 players,29.99,Toys & Games
16,Portable Power Bank,10000mAh charger with fast-charging USB-C,24.99,Electronics
17,Wooden Cutting Board,Hardwood board for chopping and serving,18.99,Home & Kitchen
18,Kids' Graphic T-Shirt,Soft cotton shirt with fun animal print,12.99,Clothing
19,Self-Help Book,Guide to mindfulness and stress reduction,11.99,Books
20,Interactive Robot Toy,Programmable robot with voice commands,49.99,Toys & Games
21,Smart Home Speaker,Voice-activated speaker with Wi-Fi and Bluetooth,79.99,Electronics
22,Cast Iron Skillet,12-inch skillet for versatile cooking,34.99,Home & Kitchen
23,Men's Leather Belt,Classic black leather belt with metal buckle,22.99,Clothing
24,Mystery Thriller Novel,Gripping 350-page crime story,13.99,Books
25,Puzzle Game 1000 Pieces,Scenic landscape puzzle for adults,19.99,Toys & Games
26,Fitness Tracker Watch,Water-resistant tracker with heart rate monitor,49.99,Electronics
27,Silicone Baking Mat,Non-stick mat for easy baking,14.99,Home & Kitchen
28,Women's Summer Dress,Lightweight floral dress for casual wear,39.99,Clothing
29,Children's Picture Book,Colorful storybook for ages 3-6,9.99,Books
30,Action Figure Set,Collectible superhero figures with accessories,24.99,Toys & Games
31,Wireless Keyboard,Compact keyboard with long battery life,29.99,Electronics
32,Stainless Steel Water Bottle,Insulated 32oz bottle for hot/cold drinks,19.99,Home & Kitchen
33,Men's Athletic Shorts,Breathable shorts for sports and casual wear,24.99,Clothing
34,Science Non-Fiction Book,Exploration of modern physics concepts,16.99,Books
35,Card Game for Families,Fun card game for all ages,14.99,Toys & Games
36,Bluetooth Headphones,Over-ear headphones with 30-hour battery,89.99,Electronics
37,Kitchen Knife Set,Set of 6 high-carbon steel knives,49.99,Home & Kitchen
38,Women's Winter Scarf,Soft wool scarf in neutral tones,19.99,Clothing
39,Fantasy Novel Series,First book in an epic fantasy trilogy,14.99,Books
40,Remote Control Drone,Drone with HD camera for beginners,59.99,Toys & Games
41,Smart Thermostat,Wi-Fi enabled thermostat for home automation,99.99,Electronics
42,Ceramic Dinner Plate Set,Set of 4 modern white plates,34.99,Home & Kitchen
43,Men's Dress Shirt,Fitted cotton shirt for formal occasions,39.99,Clothing
44,Biography Book,Inspiring life story of a historical figure,17.99,Books
45,Building Toy Kit,Engineering-focused toy set for kids,29.99,Toys & Games
46,Wireless Security Camera,1080p camera with night vision,49.99,Electronics
47,Electric Kettle,1.7L kettle with auto shut-off,24.99,Home & Kitchen
48,Women's Ankle Boots,Leather boots with low heel,59.99,Clothing
49,Poetry Collection,Anthology of modern poetry,11.99,Books
50,Plush Toy Animal,Soft stuffed bear for young children,14.99,Toys & Games
51,Portable Bluetooth Speaker,Waterproof speaker with 12-hour battery,39.99,Electronics
52,Bamboo Utensil Set,Set of 6 eco-friendly cooking utensils,12.99,Home & Kitchen
53,Men's Hooded Sweatshirt,Cozy fleece hoodie for casual wear,29.99,Clothing
54,True Crime Book,Investigative story of a famous case,15.99,Books
55,Interactive Puzzle Toy,Brain-teasing toy for kids,19.99,Toys & Games
56,Smart Light Bulb,Color-changing LED bulb with app control,19.99,Electronics
57,Non-Slip Oven Mitts,Heat-resistant mitts for safe cooking,14.99,Home & Kitchen
58,Women's Cardigan Sweater,Soft knit cardigan for layering,34.99,Clothing
59,Romance Novel,Heartwarming love story,12.99,Books
60,RC Helicopter,Toy helicopter with easy controls,29.99,Toys & Games
61,Wireless Charger,Fast-charging pad for smartphones,19.99,Electronics
62,Glass Pitcher,2L pitcher with lid for beverages,22.99,Home & Kitchen
63,Men's Casual Sneakers,Comfortable sneakers for everyday wear,49.99,Clothing
64,Cooking Technique Book,Advanced culinary techniques for home chefs,18.99,Books
65,Board Game Trivia,Trivia game for 2-6 players,24.99,Toys & Games
66,Action Camera,4K camera for outdoor adventures,79.99,Electronics
67,Ceramic Mug Set,Set of 4 colorful mugs,19.99,Home & Kitchen
68,Women's Crossbody Bag,Stylish leather bag with adjustable strap,39.99,Clothing
69,Young Adult Novel,Coming-of-age story for teens,13.99,Books
70,Construction Toy Set,200-piece set for building models,27.99,Toys & Games
71,Wireless Earphones,Sweat-resistant earphones for workouts,34.99,Electronics
72,Stainless Steel Colander,Durable colander for straining pasta,14.99,Home & Kitchen
73,Men's Polo Shirt,Classic cotton polo for casual wear,24.99,Clothing
74,Travel Guide Book,Comprehensive guide to European destinations,16.99,Books
75,Magnetic Building Tiles,Colorful tiles for creative construction,29.99,Toys & Games
76,Smart Doorbell Camera,Video doorbell with motion detection,99.99,Electronics
77,Silicone Spatula Set,Set of 4 heat-resistant spatulas,12.99,Home & Kitchen
78,Women's Athletic Top,Breathable top for running and yoga,29.99,Clothing
79,Classic Literature Novel,Timeless novel from the 18th century,10.99,Books
80,Card Game for Kids,Simple card game for young players,12.99,Toys & Games
81,Portable Hard Drive,1TB external drive with USB 3.0,59.99,Electronics
82,Wooden Salad Bowl,Large bowl for serving salads,24.99,Home & Kitchen
83,Men's Winter Jacket,Insulated jacket for cold weather,79.99,Clothing
84,Business Strategy Book,Insights on modern business practices,19.99,Books
85,Remote Control Boat,Toy boat for pool or lake play,34.99,Toys & Games
86,Wireless Router,Dual-band router for fast internet,69.99,Electronics
87,Glass Baking Dish,9x13 inch dish for casseroles,19.99,Home & Kitchen
88,Women's Sneakers,Lightweight sneakers for casual wear,49.99,Clothing
89,Memoir Book,Personal story of overcoming challenges,15.99,Books
90,Science Experiment Kit,Educational kit for kids aged 8+,24.99,Toys & Games
91,Smart Plug,Wi-Fi enabled plug for home automation,19.99,Electronics
92,Stainless Steel Toaster,2-slice toaster with multiple settings,34.99,Home & Kitchen
